弘樹，你在做什麼,諾亞方舟，出航
我不想警方報告中有我,我會處理
你告訴她警方要你指認她時，她什麼反應,我沒跟她說過這個
你在哪給我打電話,電話亭
在有監視器的地方打電話很不明智啊，多里亞先生,我知道，我當時很緊張
那你什麼時候打的，為什麼打,我意識到她會不擇手段的時候
準備好出海遊玩了嗎,我剛接到個重要電話，我要去跟李先生會面
你在哪給我打電話,電話亭
這是什麼,那個男孩的錢包
你當陪審團是白癡嗎,蘿拉曾在銀行上班
難道蘿拉一直在學習這方面的知識?,或許她丈夫幫忙了
你知道你做了什麼嗎,你覺得呢
怎麼了,怎麼了，別那樣看著我
你沒報警，因為你知道這麼做是對的,不是，這麼做是錯的
多里亞先生，你感覺怎麼樣,非常高興
你知道我是誰嗎,我只知道你不是伊凡·索托
你怎麼確定呢,我跟你說過了
我的兒子在哪,我向你保證，你搞錯了
是不是被你處理掉了,就像這樣?
地址?,別爾赫聖雷蒙街5號
會讓你想到什麼呢,讓我想到那家酒店的謎團
出於什麼目的呢,為了勒索我們，他知道我們是罪魁禍首
你有更好的主意嗎,我問你三個問題
你明白了嗎,給控方的回答要確切
你找了個人教我在受審時怎麼說?,她是打官司的最佳律師
你瞭解橫向思維的概念嗎，多里亞先生,就是改變角度去看待已給的問題
如果謎團的答案並不在那間房間裡面，而是在外面呢,她現在在別爾赫附近上班，離家20分鐘的路程
是那樣嗎,你自投羅網，還送上了蘿拉
午安,午安
有人嗎,裡面沒事吧
晚安,晚安
哪裡的聲響,715號房
你為什麼不說出真相,因為對於湯瑪斯·加里多不留蹤跡地消失一事，我想聽聽你的說法
你不是來給我辯護的嗎,那就做好你的工作
我向你保證，我的連勝記錄不會在我最後一起案子上被打破,所以，從現在起，你要按我說的做
從現在起，別再有所隱瞞,沒有了
沒有了?,沒有了
這有什麼錯嗎,你說的一切或許都發生了
但如果是你打破了永不相見的約定,而不是蘿拉呢
你在幹嘛,我在報警
他要是看到了什麼怎麼辦,沒有
那就向我承認你殺了蘿拉,我承認
你有咖啡嗎,有
菲利克斯,怎麼搞的
我手機關機了，有什麼事,我找到他了，能說你當時不在那
我們可以信任他嗎,絕對可以
你和佛吉尼亞·古德曼怎麼樣,我不得不把所有的事都告訴了她
所有的事?,所有的事
你覺得怎麼樣,你說得沒錯
她真的很棒,我們可以信任她
哪來的,你不是很聰明嗎，你告訴我啊
我們只想找到他，把他安葬,對司法機關失望的他們，決定觀察敵人，伺機而動
這裡是警局，有什麼需要幫助的嗎,我是丹尼爾·加里多的父親
你說誰很囉嗦,喂，不要突然跳出來啊，白癡
你才是白癡呢，在對著誰說話啊,我在用通俗易懂的語言給各位觀眾解釋呢
這麼說你還是不能回來嗎,是啊，忙著調查案子
聽說那個京都府警綾小路警部和白鳥警部是同時進入警界的,是啊，聽說是官宦子弟，外號「貴族警部」
那...那是什麼,是他的寵物斑紋松鼠
聽說一直帶在身邊的哦,是個比白鳥還要怪的人吧
關於兇手的線索呢,可以肯定是個劍道和弓箭的高手
真是的，這不是很重要的東西嘛,是啊，一定要收藏好才行
平次你要出去嗎,是啊，有些事情想調查一下
有什麼事嗎,本來想找你一同去友呂岐綠地看櫻花的
真羨慕柯南可以去京都啊,好像是毛利接到了一個叫山能寺的寺廟的委託
怎麼辦,試試看吧
你們三個都知道弁慶是誰吧,是義經的家將對吧
義經是誰啊,乳名叫牛若丸
我們可以去京都了,可是答對的是小哀啊
你就是那個有名的毛利小五郎嗎,哪裡，我這麼有名嗎
聽說寺裡有件十二年才展出一次的密寶,是的，就是藥師如來的佛像
我們也很想看所以才特地過來的,這樣的話藥師如來也會很高興的哦
什麼，主佛像被偷了,是的，那已經是八年前的事了
來啊，你也介紹一下嘛,好的
該怎麼答謝你呢,不用了，又不是什麼了不起的事
下次一定記得來店裡玩,回去小心一點
這一點又是什麼呢,不過是弄髒了吧
喂喂，真的假的啊,找佛像的事就交給專家
我們去參觀京都吧,就這樣就這樣
柯南也一起去吧,我就不去了
大哥哥，把竹刀還給我啊,不好意思，謝謝啊
喂，我們走吧,要好好練習哦
你在這種地方做什麼,那你又是在做什麼呢
在關西說到偵探的話應該是我吧,他們可能是不想讓警察知道吧
下一個在哪裡,蹴上斜坡
你在笑什麼,對不起對不起，你繼續
好像在哪裡看到過,真的嗎
誰也有和這一樣的珠子嗎,沒有
那麼，她知道這件事嗎,雖然我沒有和她詳細說過，但她好像是知道的
她知道這件事是因為,雜誌的採訪報道
這是什麼啊,只是個水晶珠子而已
那你認識那個女孩子嘍,我怎麼可能認識呢
而且連自己小時候的照片都登上去了,真可愛
這裡可是鐵軌啊,別和我說話，會分心的
那傢伙應該就是殺害源氏螢成員的兇手吧,可能吧
你為什麼會在這裡,在街上偶然碰到了工籐
那麼，畫裡的謎題解開了嗎,還沒，很難啊
你們幾個怎麼來了,是住持告訴我們的
你認識嗎，平次,算是吧
是我約他來的嘛,是啊
好像每個人都有本《義經記》呢,我也有啊，那可是本好書
安宅是什麼,是能劇的一個劇目
為什麼,為了騙過關口的看守
您可以去隔壁的房間,不用了，下面的房間就可以
可以看見河呢,是鴨川
受了傷嗎,是啊，一點點
是不是很關心那個舞妓啊,白癡，胡說什麼呢
怎麼了,我想起了以前和小蘭約好見面的事情了
對不起，其實我完全...,太好了
小蘭，打電話報警,是
是高中生偵探，服部平次嗎,是的
在警察來之前大家都到剛才的房間去等著吧，絕對不可以出去,知道了
你怎麼看，是外面的人幹的嗎,雖然不能說完全不可能，但是如果大門被打開發出了聲音，老闆娘應該會注意到
為什麼水尾去上廁所的時候千賀鈴要陪著他呢,舞妓們好像都是這麼做的
這是什麼,那幅畫的複印件
櫻先生就是伊勢三郎？,是啊，他好像也是源氏螢的成員
那不是很有可能櫻先生隨身帶著原件，然後被兇手拿走了嗎,原來如此
在外面的共犯把兇器從河裡撿走了,這是不可能的
為什麼啊,今晚是滿月，外面很亮的啊
還有，你是誰來著,我是警視廳的白鳥
還痛嗎,有一點
警部先生，那把短刀呢,現在正在化驗
什麼證據,證明那把短刀是殺害櫻先生的兇器的證據
沒關係嗎，不呆在醫院靜養,沒關係啦
該不會那個戴老翁面具的就是你的初戀情人吧,怎麼可能有這種事
各位有誰練過射箭嗎,射箭嗎，沒有
請進,好的，多謝
以後也請多多捧場,哪裡哪裡
剛才你唱的是什麼歌,我們叫它手球歌
你該不會認為她就是,絕對沒錯
你們幾個怎麼來了,我們答對了博士的問題
可是元太他迷了路,那就用偵探徽章啊
所以想用你的那個眼鏡來找一下,OK，就交給我吧
這東西還真是方便啊,是啊
不覺得很奇怪嗎,確實奇怪
哪兒奇怪啊,比如說如果白鳥他一個人戴著這三樣就很自然
怎，怎麼回事,肚子餓了
你真的知道殺害櫻先生的兇手是誰了嗎,是的
他沒問題的吧,總之先聽他說完
可是我剛剛才開始學，怎麼可能殺得了人呢,我也是這樣想的
服部，八年前你偷偷溜進去的就是山能寺吧,你怎麼知道
可是這顆水晶珠恐怕不是你的初戀情人掉的哦,你說什麼
我餓了,是嗎，我們馬上就到家了
這個玉龍寺，現在在哪裡,在鞍馬山的深山裡
為什麼特地選擇在先斗町而不是別的地方,因為只有那裡的茶屋後面有河水流過
怎麼知道我是兇手的,因為你刻意假裝自己不會射箭
你想獨佔佛像果然還是為了錢吧,沒錯，不過並不是為了私慾
你只是在利用龍圓先生而已吧,沒錯，之前聽他提到過佛像的事
如果你告訴我佛像藏在哪裡的話,什麼
快說，佛像到底在哪裡,就在這個寺院裡
這就是所謂的騎驢找驢吧,你胡說
你是誰,工籐新一
那麼平次的狀況呢,明天做全面檢查前必須靜養，所以工籐拜託我好好看著他
我可沒有那麼黑喲,是嗎
連小蘭都不能說嗎，為什麼,反正見不到，還不如不知道的好
找到了嗎,還沒有
你的表情還是和那時侯一樣呢,怎麼搞的，大汗淋漓呢
平次，在弁慶的抽屜裡有刀,什麼，這個櫃子裡邊嗎
你們去抓那個小姑娘,是
醒過來了嗎,爸爸
短劍嗎,這可不是一般的短劍
刃上塗了見血封喉的劇毒哦,什麼
想成為義經的弁慶是嗎,若你是弁慶，義經早在當年那個安宅關口斃命了
服部少年和毛利名偵探嗎,看來你的修行還是不夠呢
之前把你們兩個誤想成了兇手，實在抱歉,沒關係了
見到初戀情人了嗎，平次,一輩子都不會告訴你的，笨蛋
有什麼嘛，小氣鬼，告訴人家嘛,也可以，再過1500年也許會告訴你
要一個冰淇淋,好的，300日圓
嘿！,是她，瑞奇威家的姑娘多舒坦哪
可有的人得拼命幹,戴茜！站好
歡迎您來伍德莊園，瑞奇威小姐,祝願您過得愉快謝謝，巴恩斯特，我會愉快的
也許您想見見他們？,待會，我想看看花園修的怎樣
設計師還沒來呢，快去辦，巴恩斯特,遵命
真抱歉，你的管家沒告訴我,這沒什麼，沒什麼
你太美了,謝謝，你也總這麼美
茶給您放哪兒，小姐？,放在客廳裡
露易絲她怎麼了？想男人了，還有什麼,她一心一意地想嫁給一個埃及人
她根本不瞭解那個人我派人去調查了一下,結果呢？那個人是結過婚的
所以你就制止了？,你說對了我還叫她別指望我會給她嫁妝
噢，林內特,噢，真漂亮你喜歡我很高興
有件事我想跟你說說想請你幫個忙,你盡管說吧這可不是件小事
我訂婚了,傑基，這太好了
給他找個事？找事？,這這兒，伍德莊園，行嗎？
你不覺得應該先說說他人怎麼樣？,嗯，他叫賽蒙，賽蒙多爾他是…他是我最中意的人了
傑基，你喜歡嗎？,喜歡啊
噢，真漂亮,可不是嘛
他喜歡鄉村,能在這兒找個事那最理想了
哦，林內特我要不嫁他我就寧可去死,真的，寧可去死
你太癡情了,是啊
好吧，要我幫什麼忙？,你現在有了這麼大一個莊園總得有個人替你管管
我想要個有經驗的聽我說…,賽蒙…他在劍橋學產業經營管理的他很適合
你這麼吧你要不喜歡，可以辭了他，我知道你會喜歡的,好吧，你明天把他帶來
好,讓我先看看謝謝
她要不用我，那多難堪啊放心吧,林內特答應了，差不多答應了
林內特不見得會喜歡我,胡扯，她會喜歡你
你幹這事最合適了，最合適,我盡可能不叫你失望
賽蒙，我真愛你,你叫我太高興了
我們去埃及度蜜月,這次你埃及可去成了
林內特，他來了,下來別鬆手啊，親愛的
就是他，我的賽蒙,你好，傑基說了你很多好話
他合適嗎，他好嗎？,是，我看他倒挺合適
布萊梅號今晚上啟航我還能趕得上,你想去買通那些英國律師？不，傻瓜
那幹嗎？,我到埃及去她不是在那兒度蜜月嗎
他們在度蜜月，她不會那麼清醒你懂了嗎？,可是林內特並不傻，潘寧頓
你這麼仔細研究什麼？,她的相片？還是項鏈？
你說話可要謹慎點，鮑爾斯留神我把你辭了,我在乎這個？
華盛頓有錢的寡婦多著呢,都想雇個能按摩按摩又能順從她們的人你要辭就辭吧
好大脾氣，鮑爾斯看來你需要散散心了,那麼到尼羅河去走一趟好嗎？
那地方我可是討厭透了，我最受不了的就是天熱和異教徒,那好，我們去
幹嗎不裝個自動電梯,懶骨頭！懶骨頭？
想到快到快到比真的到了還有味兒,多美呀！
快活嗎，親愛的？,小傻瓜，我們是最幸福的人，最美的人，最幸運的人，最孤獨的人就我們倆，沒別人
傑基…你在這兒幹什麼？,看看風景，跟你們一樣
可在威尼斯和不列顛我們也都碰見你了,真是太巧了
她總是跟著我們，存心的,是這樣，簡直不能容忍
騷貨！我們到哪兒她都蹦出來就像一隻袋鼠在發情,簡直不能理解她
我看這都得怪我,是嗎？
是我毀了婚約娶了你,她當然很不高興
我看她心裡得意的很哪,不，親愛的
我們是幸福的，別讓傑基掃了興,當然
這是美好的蜜月誰都別想破壞它,我愛你
瑞斯上校！你好啊見到你真高興,我的老朋友，好極了，好極了是啊
好久沒見到你了，自從…那個砍下牧師腦袋的離奇案件後,是啊，是啊
我至今還覺得你真運氣從煙囪裡把刀找出來,運氣？對我來說是運用大腦的結果
運氣，我留給別人了,對了，我忘了你對自己的評價了
請問你來這兒幹嗎？我是來度假的，坐船到尼羅河上遊玩玩，你呢？,真巧，我也是哦…
換句話說你想跟蹤某個遊客,哦，不，不僅僅是來度假，朋友，跟你一樣
這椅子有主嗎？這世界上，同志，都是有主的,什麼？哦，沒關系，坐吧
謝謝，你在讀《資本論》？,啊，我出門總帶著
我是貝斯納大夫我的貝斯納學院在蘇黎世,簡福克森，世界的公民
你是來度假的吧，啊？,不，我是來觀察資本主義制度衰亡的，朋友
眼前就是個很好的標本百萬富翁的女繼承人,寄生蟲你不滿意？
她讓我惡心在任何合理的社會裡…,是啊，也許你對她的權利也太大了
先生噢，謝謝你,乾杯
林內特，林內特，親愛的安德魯大叔真沒想到我不知道你也來埃及旅行了,是突然決定的，說實在的我來度蜜月的
度蜜月？這位就是新郎？,親愛的，這是我的美國律師兼託管人安德魯潘寧頓
你好跟我們一塊坐吧,那好，就稍坐一會兒
真是引人注目啊連你這英國人也在含蓄地盯著她,她太美了噢，她太有錢了
你當然知道她是誰當然知道,請原諒我打攪你們剛才我還跟我的女兒打賭
你是霍克爾波瑞奇著名的法國偵探,不全對，霍克爾波洛著名的比利時偵探
說對了吧，羅薩利,現今世界上只有一個波洛先生他是獨一無二的，就像我也是獨一無二的
我母親，薩萊梅奧特伯恩小說家,啊，你就是薩萊梅久仰了，很榮幸
你瞧我們，兩位名人聚在一起了,應該說三位
啊，認識一下我的朋友瑞斯上校這是奧特伯恩太太和她的女兒,榮幸，太榮幸了，請坐，太太，小姐
你現在大概在寫另一部書吧太太，以埃及為背景？,你真聰明絕頂，怎麼推斷出來的？波洛先生
我是來感染一下當地色彩是為寫我的巨著…《獅身人面像上的白雪》,這死沉沉的謎煥發出炙熱的愛，就像這個剛剛從學校畢業的英國少女，能融化沙漠酋長那顆坦誠的心
不過我覺得波洛先生不是個愛看愛情小說的讀者,他當然愛看！法國人都愛看他們才不怕對性的描寫，根本不同於我們國內的那些大圖書館，他們禁止薩萊梅奧特伯恩真實地描寫男女之愛
也許你願意跟我跳個探戈我的小姐？,飯後稍微地活動活動
會跳探戈嗎，上校？怕跳不好，太太,那讓我來教你，就像從前西班牙人跳的，當時叫做奇卡
喂，波洛先生，我看見林內特找你了，她給你多少錢讓你趕我走？,不，我沒有接受多爾太太的委託
是作為真誠的朋友跟你談談還有什麼？你想說什麼呢？,說我這樣是在當眾出醜？說我瘋了？
我說死了心吧不要像埃及人那樣…為了使靈魂永遠不死而把屍體保存起來,不，永遠死了這條心
不要往後看，要向前看,記住，時間能夠醫治一切
你以為我在受苦？你錯了相反我覺得很有樂趣,對！最糟糕的正是你覺得很有樂趣
這東西很小，卻能致命，我爸爸把我教成神槍手，有時候我真想把這槍對準她的腦袋，然後只要輕輕地…一扣，我越來越想聽那槍聲,我瞭解你的心情有時候我們也會有的
我只是想警告你…別讓邪惡鉆進你的心它會留在那兒作怪的,心裡要沒愛情，邪惡當然降臨
你好啊，波洛先生你回旅館嗎？,還能去哪兒？
